album_id,album_name,release_date,total_track,album_type,album_url
3ofCjilmmAuyucK9AwULA8,Semenjak Ada Dirimu,2024-08-22,1,single,https://open.spotify.com/album/3ofCjilmmAuyucK9AwULA8
4X40KZmA4LE4beNaNrQuNw,Kereta Kencan,2017-03-23,10,album,https://open.spotify.com/album/4X40KZmA4LE4beNaNrQuNw
3ZKUrGax3UsLexr8nQqxrc,Siapkah Kau 'Tuk Jatuh Cinta Lagi,2015-04-21,1,single,https://open.spotify.com/album/3ZKUrGax3UsLexr8nQqxrc
3GXsFGyViN6r1JYvuHYYSG,CERITERA,2019-11-13,9,album,https://open.spotify.com/album/3GXsFGyViN6r1JYvuHYYSG
1omMrtVETWau6zIf3ff4ae,Say Hi To Hivi!,2012-04-18,10,album,https://open.spotify.com/album/1omMrtVETWau6zIf3ff4ae
1hrJXgaVEGovpLl9dFdqz7,Sheila On 7,1999-07-14,10,album,https://open.spotify.com/album/1hrJXgaVEGovpLl9dFdqz7
59MdGM9vovHOEqp40fpthI,07 Des,2002-03-26,14,album,https://open.spotify.com/album/59MdGM9vovHOEqp40fpthI
2yDNCNEbfaE2GnCSkY7yba,Berlayar,2011-03-15,10,album,https://open.spotify.com/album/2yDNCNEbfaE2GnCSkY7yba
4bPUtZdWsvU1eTPmJFuvwm,Kisah Klasik Untuk Masa Depan,2000-10-04,12,album,https://open.spotify.com/album/4bPUtZdWsvU1eTPmJFuvwm
2nXulMdqeETddh6KThsEjI,Film Favorit,2018-01-29,1,single,https://open.spotify.com/album/2nXulMdqeETddh6KThsEjI
66ggR3LdVt8pjIaOeL7kNB,OST. 30 Hari Mencari Cinta,2003-12-05,10,compilation,https://open.spotify.com/album/66ggR3LdVt8pjIaOeL7kNB
5XDIG1UnNJ4jLVwsCFbc7l,Pejantan Tangguh,2004-05-25,12,album,https://open.spotify.com/album/5XDIG1UnNJ4jLVwsCFbc7l
4g3aTyVwe84yOlAM9LMWro,Cinta & Doa,2023-09-22,13,album,https://open.spotify.com/album/4g3aTyVwe84yOlAM9LMWro
5mCUtD20kAyTi6gmsYwxHt,Cinta Luar Biasa,2019-11-22,9,album,https://open.spotify.com/album/5mCUtD20kAyTi6gmsYwxHt
5boeKAXsTkdFlm6OnkQxQW,Runtuh,2021-10-01,1,single,https://open.spotify.com/album/5boeKAXsTkdFlm6OnkQxQW
3oCPm4IKeaWJy666uZPKih,Kembali Pulang,2022-10-28,1,single,https://open.spotify.com/album/3oCPm4IKeaWJy666uZPKih
0t4RNN2t8lhd9yI9YxFHk5,Riuh,2022-01-21,10,album,https://open.spotify.com/album/0t4RNN2t8lhd9yI9YxFHk5
73wlf7LjR5ytZvdINDIowe,Tanpa Pamrih,2022-08-05,1,single,https://open.spotify.com/album/73wlf7LjR5ytZvdINDIowe
29o0BQQ85w1T5WtWSd79m8,Masterpiece Maia Estianty,2020-10-15,11,compilation,https://open.spotify.com/album/29o0BQQ85w1T5WtWSd79m8
2ahzgLO6pFtsYneTKeBfFA,Negeriku (Collabonation Version),2023-08-10,1,single,https://open.spotify.com/album/2ahzgLO6pFtsYneTKeBfFA
5rTrfbcQlTr807zJKhH5zN,Hitam Putih,2024-09-26,11,album,https://open.spotify.com/album/5rTrfbcQlTr807zJKhH5zN
3nrEhteC4SHPiLCSHvod71,2016,2023-03-31,5,single,https://open.spotify.com/album/3nrEhteC4SHPiLCSHvod71
3zzIZJAYdeMttVROyFSUfN,My First Love,2011-06-01,12,album,https://open.spotify.com/album/3zzIZJAYdeMttVROyFSUfN
0KUthdNI5OHnflJNj6Jd2g,"Love, Love & Love",2011-02-01,12,album,https://open.spotify.com/album/0KUthdNI5OHnflJNj6Jd2g
7GfylFxRPXIGHwKZTPlURg,The One,2010-04-01,7,album,https://open.spotify.com/album/7GfylFxRPXIGHwKZTPlURg
3eWu0wNs9ltvXghDHMhHQK,Live to Love,2013-02-05,10,album,https://open.spotify.com/album/3eWu0wNs9ltvXghDHMhHQK
2maVK3t3NYwcqwp2IKdhyw,SIDES,2016-08-24,13,album,https://open.spotify.com/album/2maVK3t3NYwcqwp2IKdhyw
7tXSAdhvFo8k9HNE5dK9Ym,DEKADE,2018-02-21,14,album,https://open.spotify.com/album/7tXSAdhvFo8k9HNE5dK9Ym
427i70YCWKnkDAvvHjsxMp,"Love, Life & Music",2014-05-19,10,album,https://open.spotify.com/album/427i70YCWKnkDAvvHjsxMp
1ahdxVWtqETWgYIuO4Uv8v,Confession No.1,2008-01-01,13,album,https://open.spotify.com/album/1ahdxVWtqETWgYIuO4Uv8v
2KZ89EkUZMZMuHuDdi3VNN,Still The One,2014-04-14,11,album,https://open.spotify.com/album/2KZ89EkUZMZMuHuDdi3VNN
7aSV0bzRGqWW3bETcc6oSp,The Special One,2007-12-10,11,album,https://open.spotify.com/album/7aSV0bzRGqWW3bETcc6oSp
6nFdenkFLOxjD5eYaD6pZc,Winning 11,2010-08-16,11,album,https://open.spotify.com/album/6nFdenkFLOxjD5eYaD6pZc
6osB48b3PzrABxdspbyYkd,Selamat (Selamat Tinggal),2019-06-17,1,single,https://open.spotify.com/album/6osB48b3PzrABxdspbyYkd
2KhCqrXaLVeUNuB8FifMJj,Saat Kau Telah Mengerti,2023-01-13,1,single,https://open.spotify.com/album/2KhCqrXaLVeUNuB8FifMJj
49ITgnRs2AEdr1p0s6tXXg,Bukti,2017-09-19,1,single,https://open.spotify.com/album/49ITgnRs2AEdr1p0s6tXXg
4EERiS8fZYOxtHPn06HP8P,Orang Yang Sama,2021-04-15,1,single,https://open.spotify.com/album/4EERiS8fZYOxtHPn06HP8P
28k3XdyzklbPTC9xZdA1q8,Titik Balik di Hidupku,2019-11-27,1,single,https://open.spotify.com/album/28k3XdyzklbPTC9xZdA1q8
2H6bcJZG9f5ZkKl9TxUmXF,Maha Pemilik Hati,2018-05-02,1,single,https://open.spotify.com/album/2H6bcJZG9f5ZkKl9TxUmXF
7HY6iwjuYwS3k2qnJZeNFM,Saat Hatiku Bertanya,2019-04-01,1,single,https://open.spotify.com/album/7HY6iwjuYwS3k2qnJZeNFM
3QUGmEDo4oijL93sKzlsR4,Flying Solo,2019-06-14,11,album,https://open.spotify.com/album/3QUGmEDo4oijL93sKzlsR4
7IRlD9qEXisysWi8O24EkU,Walk The Talk,2018-07-15,16,album,https://open.spotify.com/album/7IRlD9qEXisysWi8O24EkU
2Hjub1YpegaAmIf2TULKki,Pupus / Risalah Hati,2021-06-30,2,single,https://open.spotify.com/album/2Hjub1YpegaAmIf2TULKki
4LvgUXgET9nwyO1wpRpR0Y,Hardcore Romance,2024-08-21,9,album,https://open.spotify.com/album/4LvgUXgET9nwyO1wpRpR0Y
5xkTcnSy7X3uuCNltjOf0d,Solipsism 0.2,2021-02-03,12,album,https://open.spotify.com/album/5xkTcnSy7X3uuCNltjOf0d
2nFXZYwcFX49uehczLGoFM,King of Soundtrack,2014-03-03,12,album,https://open.spotify.com/album/2nFXZYwcFX49uehczLGoFM
